DES_SUBGER,DES_REGION,COD_SUC,MAYORISTA,PRODUCTO,CODACTIVOR3,BARRA,DESCGRUPO,SUBGRUPOPROD,DESCMARCAACT,CAPACIDAD,SERIE,SERIEANT,IZQ,FECHAALTA,ANIOALTA,DESCMARCA,DESCSITUACION,CLIENTEESTADO
Provincias,06 Centro,CIC,0017483 San Ignacio Ica - Ica,007746 Froster 280 VT,000000000400015163,0010083531,Frios,Froster,Fogel,12,090210793,F10-280-CF-VT-V1,F10,8/05/2009,2009,Cusqueña,Disponible,Activo
Provincias,06 Centro,CIC,0017483 San Ignacio Ica - Ica,007746 Froster 280 VT,000000000400014544,0010078533,Frios,Froster,Fogel,12,080821841,F9-280-CF-VT-PERU,F9-,6/10/2008,2008,Cusqueña,Disponible,Activo
Provincias,06 Centro,CIC,0017483 San Ignacio Ica - Ica,007746 Froster 280 VT,000000000400014535,0010078516,Frios,Froster,Fogel,12,080821845,F9-280-CF-VT-PERU,F9-,6/10/2008,2008,Cusqueña,Disponible,Activo
Provincias,06 Centro,CIC,0017483 San Ignacio Ica - Ica,007746 Froster 280 VT,000000000400014257,0010077826,Frios,Froster,Fogel,12,080821736,F9-280-CF-VT-PERU,F9-,6/10/2008,2008,Pilsen Callao,Disponible,Activo
Provincias,06 Centro,CIC,0017483 San Ignacio Ica - Ica,007746 Froster 280 VT,000000000400116121,0010101976,Frios,Froster,Fogel,12,111014980,F12-FROSTER-X-17-VT-,F12,27/12/2011,2011,Cusqueña,Disponible,Activo
Provincias,06 Centro,CIC,0017483 San Ignacio Ica - Ica,007659 Minivisifroster,000000000400068149,0010090701,Frios,Visifroster,Fogel,2,100917111,F11-CTE-3-PVP-V1,F11,12/11/2010,2010,Cusqueña,Disponible,Activo
Provincias,06 Centro,CIC,0017483 San Ignacio Ica - Ica,007551 Visifroster 820 2 Puertas,000000000400013207,0010070350,Frios,Visifroster,Fogel,32,071112557,F8820TE2PVPH,F88,24/12/2007,2007,Cristal,Disponible,Activo
Provincias,06 Centro,CIC,0017483 San Ignacio Ica - Ica,007420 Froster 456,000000000400013446,0010072655,Frios,Froster,Fogel,14,071211988,F8-456-TE-V1,F8-,17/01/2008,2008,Pilsen Callao,Disponible,Activo
Provincias,06 Centro,CIC,0017483 San Ignacio Ica - Ica,007420 Froster 456,000000000400013445,0010072654,Frios,Froster,Fogel,14,071212023,F8-456-TE-V1,F8-,17/01/2008,2008,Pilsen Callao,Disponible,Activo
Provincias,06 Centro,CIC,0017483 San Ignacio Ica - Ica,007420 Froster 456,000000000400013538,0010072540,Frios,Froster,Fogel,14,071114075,F8-456-TE-V1,F8-,17/01/2008,2008,Cristal,Disponible,Activo
Provincias,06 Centro,CIC,0017483 San Ignacio Ica - Ica,007420 Froster 456,000000000400013536,0010072535,Frios,Froster,Fogel,14,071113924,F8-456-TE-V1,F8-,17/01/2008,2008,Cristal,Disponible,Activo
Provincias,06 Centro,CIC,0017483 San Ignacio Ica - Ica,007420 Froster 456,000000000400013271,0010071168,Frios,Froster,Fogel,14,071113895,F8-456-TE-V1,F8-,30/10/2007,2007,Cristal,Disponible,Activo
Provincias,06 Centro,CIC,0017483 San Ignacio Ica - Ica,007414 Froster B65,000000000400107408,0010096182,Frios,Froster,Fogel,26,110816219,F12-FROSTER-B-65-TE-,F12,6/10/2011,2011,Cusqueña,Disponible,Activo
Provincias,06 Centro,CIC,0017483 San Ignacio Ica - Ica,007414 Froster B65,000000000400068808,0010091362,Frios,Froster,Fogel,26,101011937,F11-B65-TE-V1,F11,1/12/2010,2010,Cristal,Disponible,Activo
Provincias,06 Centro,CIC,0017483 San Ignacio Ica - Ica,007414 Froster B65,000000000400013740,0010073452,Frios,Froster,Fogel,26,071114489,F8-B65-TE-V1,F8-,6/02/2008,2008,Barena,Disponible,Activo
Provincias,06 Centro,CIC,0017483 San Ignacio Ica - Ica,007414 Froster B65,000000000400013731,0010073440,Frios,Froster,Fogel,26,071114474,F8-B65-TE-V1,F8-,6/02/2008,2008,Barena,Disponible,Activo
Provincias,06 Centro,CIC,0017483 San Ignacio Ica - Ica,007414 Froster B65,000000000400013634,0010073165,Frios,Froster,Fogel,26,071114606,F8-B65-TE-V1,F8-,9/01/2008,2008,Barena,Disponible,Activo
Provincias,06 Centro,CIC,0017483 San Ignacio Ica - Ica,007414 Froster B65,000000000400013621,0010073142,Frios,Froster,Fogel,26,071114603,F8-B65-TE-V1,F8-,9/01/2008,2008,Barena,Disponible,Activo
Provincias,06 Centro,CIC,0017483 San Ignacio Ica - Ica,007414 Froster B65,000000000400013617,0010073137,Frios,Froster,Fogel,26,071114614,F8-B65-TE-V1,F8-,9/01/2008,2008,Barena,Disponible,Activo
Provincias,06 Centro,CIC,0017483 San Ignacio Ica - Ica,007414 Froster B65,000000000400013575,0010072897,Frios,Froster,Fogel,26,071114622,F8-B65-TE-V1,F8-,9/01/2008,2008,Barena,Disponible,Activo
Provincias,06 Centro,CIC,0017483 San Ignacio Ica - Ica,007414 Froster B65,000000000400013573,0010072892,Frios,Froster,Fogel,26,071114504,F8-B65-TE-V1,F8-,9/01/2008,2008,Barena,Disponible,Activo
Provincias,06 Centro,CIC,0017483 San Ignacio Ica - Ica,007412 Froster B50,000000000400119265,0010106425,Frios,Froster,Fogel,16,120714631,F13 FROSTER-B-50-TE-,F13,20/09/2012,2012,Cristal,Disponible,Activo
Provincias,06 Centro,CIC,0017483 San Ignacio Ica - Ica,007412 Froster B50,000000000400112924,0010099284,Frios,Froster,Fogel,16,110913575,F12-FROSTER-B-50-TE-,F12,30/11/2011,2011,Cusqueña,Disponible,Activo
Provincias,06 Centro,CIC,0017483 San Ignacio Ica - Ica,007412 Froster B50,000000000400112813,0010099200,Frios,Froster,Fogel,16,110913437,F12-FROSTER-B-50-TE-,F12,30/11/2011,2011,Cusqueña,Disponible,Activo
Provincias,06 Centro,CIC,0017483 San Ignacio Ica - Ica,007412 Froster B50,000000000400104628,0010095476,Frios,Froster,Fogel,16,110811731,F12-FROSTER-B-50-TE-,F12,29/09/2011,2011,Cusqueña,Disponible,Activo
Provincias,06 Centro,CIC,0017483 San Ignacio Ica - Ica,007412 Froster B50,000000000400013137,0010069966,Frios,Froster,Fogel,16,071012417,F8B50TEV1,F8B,15/11/2007,2007,Pilsen Callao,Disponible,Activo
Provincias,06 Centro,CIC,0017483 San Ignacio Ica - Ica,007412 Froster B50,000000000400013134,0010069955,Frios,Froster,Fogel,16,071012428,F8B50TEV1,F8B,15/11/2007,2007,Pilsen Callao,Disponible,Activo
Provincias,06 Centro,CIC,0017483 San Ignacio Ica - Ica,007412 Froster B50,000000000400013133,0010069952,Frios,Froster,Fogel,16,071012486,F8B50TEV1,F8B,15/11/2007,2007,Pilsen Callao,Disponible,Activo
Provincias,06 Centro,CIC,0017483 San Ignacio Ica - Ica,006494 VisiFroster 19p 1 Pta,000000000400010636,0010060146,Frios,Visifroster,Fogel,12,060911984,280 CF PVPV1,280,25/10/2006,2006,Pilsen Callao,Disponible,Activo
Provincias,06 Centro,CIC,0017483 San Ignacio Ica - Ica,006494 VisiFroster 19p 1 Pta,000000000400043404,0010058942,Frios,Visifroster,Fogel,12,060910775,280 CF PVPV1,280,8/02/2008,2008,Cristal,Disponible,Activo
Provincias,06 Centro,CIC,0017483 San Ignacio Ica - Ica,006494 VisiFroster 19p 1 Pta,000000000400012631,0010066359,Frios,Visifroster,Fogel,12,070216284,280 CF PVPV1,280,7/04/2007,2007,Pilsen Callao,Disponible,Activo
Provincias,06 Centro,CIC,0017483 San Ignacio Ica - Ica,006494 VisiFroster 19p 1 Pta,000000000400012610,0010066335,Frios,Visifroster,Fogel,12,070216293,280 CF PVPV1,280,7/04/2007,2007,Pilsen Callao,Disponible,Activo
Provincias,06 Centro,CIC,0017483 San Ignacio Ica - Ica,006494 VisiFroster 19p 1 Pta,000000000400020864,0010058548,Frios,Visifroster,Fogel,12,060910976,280 CF PVPV1,280,2/10/2006,2006,Cristal,Disponible,Activo
Provincias,06 Centro,CIC,0017483 San Ignacio Ica - Ica,006436 Visicooler 17p 1pta,000000000400108364,0010097130,Frios,Visicooler,Fogel,12,110924399,F12-X-17-V1,F12,17/10/2011 00:00,2011,Pilsen Callao,Disponible,Activo
Provincias,06 Centro,CIC,0017483 San Ignacio Ica - Ica,006436 Visicooler 17p 1pta,000000000400068280,0010090822,Frios,Visicooler,Fogel,12,100917264,F11-V-280-V1,F11,1/11/2010,2010,Pilsen Callao,Disponible,Activo
Provincias,06 Centro,CIC,0017483 San Ignacio Ica - Ica,006436 Visicooler 17p 1pta,000000000400009968,0010060985,Frios,Visicooler,Fogel,12,060914965,V-513-V1,V-5,31/10/2006,2006,Cristal,Disponible,Activo
Provincias,06 Centro,CIC,0017483 San Ignacio Ica - Ica,006436 Visicooler 17p 1pta,000000000400111086,0010097867,Frios,Visicooler,Fogel,12,111020401,F12-X-17-V1,F12,17/10/2011,2011,Cristal,Disponible,Activo
Provincias,06 Centro,SAY,0900990 San Ignacio Ayacucho,000967 Vscooler 19p 1Pta,000000000400016065,0010042305,Frios,Visicooler,Mimet,12,569636,,,24/06/2004,2004,Cristal,Disponible,Activo
Provincias,06 Centro,SAY,0900990 San Ignacio Ayacucho,004102 Froster 280,000000000400017123,0010067354,Frios,Froster,Fogel,12,070912178,F8-280-CF-V1,F8-,8/10/2007,2007,Cristal,Disponible,Activo
Provincias,06 Centro,SAY,0900990 San Ignacio Ayacucho,006494 VisiFroster 19p 1 Pta,000000000400107580,0010096351,Frios,Visifroster,Fogel,12,110923184,F12-F-X-17-PVP-V1,F12,17/10/2011,2011,Barena,Disponible,Activo
Provincias,06 Centro,SAY,0900990 San Ignacio Ayacucho,006494 VisiFroster 19p 1 Pta,000000000400017595,0010076297,Frios,Visifroster,Fogel,12,080710876,F9-280-CF-PVP-V1,F9-,8/09/2008,2008,Cristal,Disponible,Activo
Provincias,06 Centro,SAY,0900990 San Ignacio Ayacucho,006494 VisiFroster 19p 1 Pta,000000000400017574,0010076346,Frios,Visifroster,Fogel,12,080710799,F9-280-CF-PVP-V1,F9-,8/09/2008,2008,Cristal,Disponible,Activo
Provincias,06 Centro,SAY,0900990 San Ignacio Ayacucho,006494 VisiFroster 19p 1 Pta,000000000400017800,0010077100,Frios,Visifroster,Fogel,12,080714218,F9-280-CF-PVP-V1,F9-,20/09/2008,2008,Pilsen Callao,Disponible,Activo
Provincias,06 Centro,SAY,0900990 San Ignacio Ayacucho,007412 Froster B50,000000000400104004,0010094819,Frios,Froster,Fogel,16,110811512,F12-FROSTER-B-50-TE-,F12,13/09/2011,2011,Cristal,Disponible,Activo
Provincias,06 Centro,SAY,0900990 San Ignacio Ayacucho,007414 Froster B65,000000000400107024,0010095798,Frios,Froster,Fogel,26,110816212,F12-FROSTER-B-65-TE-,F12,6/10/2011,2011,Cusqueña,Disponible,Activo
Provincias,06 Centro,SAY,0900990 San Ignacio Ayacucho,007414 Froster B65,000000000400015854,0010072148,Frios,Froster,Fogel,26,071114263,F8-B65-TE-V1,F8-,15/11/2007,2007,Cristal,Disponible,Activo
Provincias,06 Centro,SAY,0900990 San Ignacio Ayacucho,007746 Froster 280 VT,000000000400113263,0010099774,Frios,Froster,Fogel,12,110915070,F12-FROSTER-X-17-VT-,F12,30/11/2011,2011,Barena,Disponible,Activo
Provincias,06 Centro,SAY,0900990 San Ignacio Ayacucho,007746 Froster 280 VT,000000000400113267,0010099777,Frios,Froster,Fogel,12,110915068,F12-FROSTER-X-17-VT-,F12,30/11/2011,2011,Barena,Disponible,Activo
Provincias,06 Centro,SAY,0900990 San Ignacio Ayacucho,007746 Froster 280 VT,000000000400018018,0010078052,Frios,Froster,Fogel,12,080821609,F9-280-CF-VT-PERU,F9-,6/10/2008,2008,Pilsen Callao,Disponible,Activo
Provincias,06 Centro,SAY,0900990 San Ignacio Ayacucho,007746 Froster 280 VT,000000000400018030,0010078214,Frios,Froster,Fogel,12,080721586,F9-280-CF-VT-PERU,F9-,6/10/2008,2008,Cristal,Disponible,Activo
Provincias,06 Centro,SAY,0900990 San Ignacio Ayacucho,007746 Froster 280 VT,000000000400018175,0010078436,Frios,Froster,Fogel,12,080821566,F9-280-CF-VT-PERU,F9-,6/10/2008,2008,Cristal,Disponible,Activo
Provincias,06 Centro,SAY,0900990 San Ignacio Ayacucho,007746 Froster 280 VT,000000000400018177,0010078437,Frios,Froster,Fogel,12,080821496,F9-280-CF-VT-PERU,F9-,6/10/2008,2008,Cristal,Disponible,Activo
Provincias,06 Centro,SAY,0900990 San Ignacio Ayacucho,008609 Visicooler 126 Vert. Jr - 6 cj,000000000400106902,0010095219,Frios,Visicooler,Fogel,6,110814279,F12-V-126-V1,F12,13/09/2011,2011,Pilsen Callao,Disponible,Activo
Provincias,06 Centro,HUA,0017465 San Ignacio Huacho - Huaral,003741 Nevera 2 Ptas Sup Corr Meta,000000000400044396,0010045646,Frios,Nevera,Inducol,10,02511157,,,20/04/2005,2005,Dorada,Disponible,Activo
Provincias,06 Centro,HUA,0017465 San Ignacio Huacho - Huaral,004102 Froster 280,000000000400044480,0010063022,Frios,Froster,Fogel,12,070112394,280-CF-V1,280,8/02/2007,2007,Cristal,Disponible,Activo
Provincias,06 Centro,HUA,0017465 San Ignacio Huacho - Huaral,004102 Froster 280,000000000400044220,0010067341,Frios,Froster,Fogel,12,070912089,F8-280-CF-V1,F8-,8/10/2007,2007,Cristal,Disponible,Activo
Provincias,06 Centro,HUA,0017465 San Ignacio Huacho - Huaral,006494 VisiFroster 19p 1 Pta,000000000400170055,0010103840,Frios,Visifroster,Fogel,12,120820286,F13-F-280-CF-PVP-LED,F13,19/11/2012,2012,Cristal,Disponible,Activo
Provincias,06 Centro,HUA,0017465 San Ignacio Huacho - Huaral,006494 VisiFroster 19p 1 Pta,000000000400044280,0010058824,Frios,Visifroster,Fogel,12,060911192,280 CF PVPV1,280,9/10/2006,2006,Cristal,Disponible,Activo
Provincias,06 Centro,HUA,0017465 San Ignacio Huacho - Huaral,006494 VisiFroster 19p 1 Pta,000000000400044207,0010067606,Frios,Visifroster,Fogel,12,070915278,F8280CFPVPV1,F82,27/10/2007,2007,Cristal,Disponible,Activo
Provincias,06 Centro,HUA,0017465 San Ignacio Huacho - Huaral,006814 Froster 820 2 Ptas,000000000400044087,0010077169,Frios,Froster,Fogel,32,080614342,F9-820-TE- 2P-2U-V1,F9-,17/09/2008,2008,Cristal,Disponible,Activo
Provincias,06 Centro,HUA,0017465 San Ignacio Huacho - Huaral,007064 Froster 280 Luminoso,000000000400015662,0010062313,Frios,Froster,Fogel,12,061014143,280-CF-PI-V1,280,27/12/2006,2006,Barena,Disponible,Activo
Provincias,06 Centro,HUA,0017465 San Ignacio Huacho - Huaral,007412 Froster B50,000000000400167441,0010107362,Frios,Froster,Fogel,16,120815589,F13-FROSTER-B-50-TE-,F13,27/10/2012,2012,Pilsen Callao,Disponible,Activo
Provincias,06 Centro,HUA,0017465 San Ignacio Huacho - Huaral,007412 Froster B50,000000000400167363,0010107437,Frios,Froster,Fogel,16,120815664,F13-FROSTER-B-50-TE-,F13,27/10/2012,2012,Pilsen Callao,Disponible,Activo
Provincias,06 Centro,HUA,0017465 San Ignacio Huacho - Huaral,007412 Froster B50,000000000400167361,0010107455,Frios,Froster,Fogel,16,120815682,F13-FROSTER-B-50-TE-,F13,27/10/2012,2012,Pilsen Callao,Disponible,Activo
Provincias,06 Centro,SBA,0017536 San Ignacio Huacho - Barranca,000846 Nevera 1pta Superior,000000000400008400,0010026213,Frios,Nevera,Friolux,10,25297,9-4-25282,9-4,13/12/1999,1999,Cristal,Disponible,Activo
Provincias,06 Centro,SBA,0017536 San Ignacio Huacho - Barranca,004102 Froster 280,000000000400012868,0010067872,Frios,Froster,Fogel,12,070912686,F8-280-CF-V1,F8-,30/10/2007,2007,Pilsen Callao,Disponible,Activo
Provincias,06 Centro,SBA,0017536 San Ignacio Huacho - Barranca,006436 Visicooler 17p 1pta,000000000400111153,0010097939,Frios,Visicooler,Fogel,12,111020445,F12-X-17-V1,F12,17/10/2011,2011,Cristal,Disponible,Activo
Provincias,06 Centro,SBA,0017536 San Ignacio Huacho - Barranca,006494 VisiFroster 19p 1 Pta,000000000400013181,0010070227,Frios,Visifroster,Fogel,12,071111114,F8280CFPVPV1,F82,21/12/2007,2007,Barena,Disponible,Activo
Provincias,06 Centro,SBA,0017536 San Ignacio Huacho - Barranca,006494 VisiFroster 19p 1 Pta,000000000400012842,0010067575,Frios,Visifroster,Fogel,12,070915224,F8280CFPVPV1,F82,27/10/2007,2007,Cristal,Disponible,Activo
Provincias,06 Centro,SBA,0017536 San Ignacio Huacho - Barranca,007412 Froster B50,000000000400069307,0010091814,Frios,Froster,Fogel,16,101110231,F11-B50-TE-VT-V1,F11,1/11/2010,2010,Cristal,Disponible,Activo
Provincias,06 Centro,SBA,0017536 San Ignacio Huacho - Barranca,007414 Froster B65,000000000400013659,0010073259,Frios,Froster,Fogel,26,071114481,F8-B65-TE-V1,F8-,4/02/2008,2008,Barena,Disponible,Activo
Provincias,06 Centro,SBA,0017536 San Ignacio Huacho - Barranca,007414 Froster B65,000000000400013666,0010073273,Frios,Froster,Fogel,26,071114579,F8-B65-TE-V1,F8-,4/02/2008,2008,Barena,Disponible,Activo
Provincias,06 Centro,SBA,0017536 San Ignacio Huacho - Barranca,007414 Froster B65,000000000400068709,0010091272,Frios,Froster,Fogel,26,101011996,F11-B65-TE-V1,F11,1/12/2010,2010,Cusqueña,Disponible,Activo
Provincias,06 Centro,SBA,0017536 San Ignacio Huacho - Barranca,007414 Froster B65,000000000400069024,0010091537,Frios,Froster,Fogel,26,101011994,F11-B65-TE-V1,F11,1/12/2010,2010,Cristal,Disponible,Activo
Provincias,06 Centro,SBA,0017536 San Ignacio Huacho - Barranca,007414 Froster B65,000000000400069025,0010091538,Frios,Froster,Fogel,26,101011983,F11-B65-TE-V1,F11,1/12/2010,2010,Cristal,Disponible,Activo
Provincias,06 Centro,SBA,0017536 San Ignacio Huacho - Barranca,007414 Froster B65,000000000400069038,0010091551,Frios,Froster,Fogel,26,101011975,F11-B65-TE-V1,F11,1/12/2010,2010,Cristal,Disponible,Activo
Provincias,06 Centro,SBA,0017536 San Ignacio Huacho - Barranca,007420 Froster 456,000000000400013372,0010071821,Frios,Froster,Fogel,14,071113991,F8-456-TE-V1,F8-,9/01/2008,2008,Cristal,Disponible,Activo
Provincias,06 Centro,SBA,0017536 San Ignacio Huacho - Barranca,007746 Froster 280 VT,000000000400067775,0010090461,Frios,Froster,Fogel,12,100915245,F11-280-CF-VT-V1,F11,15/11/2010,2010,Pilsen Callao,Disponible,Activo
Provincias,06 Centro,SBA,0017536 San Ignacio Huacho - Barranca,008136 FROSTER 126 VT,000000000400116596,0010102509,Frios,Froster,Fogel,6,111014781,F12-FROSTER-126-CFVT,F12,29/12/2011,2011,Cusqueña,Disponible,Activo
Provincias,06 Centro,SBA,0017536 San Ignacio Huacho - Barranca,008512 Visicooler 192 Vert. - 7 cj,000000000400068634,0010091152,Frios,Visicooler,Fogel,7,100916231,F11-V-192-V1,F11,5/11/2010,2010,Cristal,Disponible,Activo
Provincias,06 Centro,SBA,0017536 San Ignacio Huacho - Barranca,008512 Visicooler 192 Vert. - 7 cj,000000000400115781,0010101225,Frios,Visicooler,Fogel,7,111014231,F12-V-192-V1,F12,27/12/2011,2011,Maltin Power,Disponible,Activo
Provincias,06 Centro,SBA,0017536 San Ignacio Huacho - Barranca,008513 Visifroster 192 Vert. - 7 cj,000000000400166407,0010108637,Frios,Visifroster,Fogel,7,120811081,F13-FROSTER-192-CF-P,F13,11/10/2012,2012,Cusqueña,Disponible,Activo
Provincias,06 Centro,SHU,0017527 San Ignacio Huacho - Huacho,000846 Nevera 1pta Superior,000000000400008435,0010026088,Frios,Nevera,Friolux,10,20171,9-4-23298,9-4,7/12/1999,1999,Pilsen Callao,Disponible,Activo
Provincias,06 Centro,SHU,0017527 San Ignacio Huacho - Huacho,000967 Vscooler 19p 1Pta,000000000400008472,0010042461,Frios,Visicooler,Mimet,12,569887,,,25/06/2004,2004,Pilsen Callao,Disponible,Activo
Provincias,06 Centro,SHU,0017527 San Ignacio Huacho - Huacho,004102 Froster 280,000000000400012717,0010067375,Frios,Froster,Fogel,12,070912248,F8-280-CF-V1,F8-,8/10/2007,2007,Cristal,Disponible,Activo
Provincias,06 Centro,SHU,0017527 San Ignacio Huacho - Huacho,004102 Froster 280,000000000400013263,0010071106,Frios,Froster,Fogel,12,071113199,F8-280-CF-V1,F8-,30/10/2007,2007,Cristal,Disponible,Activo
Provincias,06 Centro,SHU,0017527 San Ignacio Huacho - Huacho,004102 Froster 280,000000000400008569,0010052180,Frios,Froster,Inducol,12,2458213050,,,19/07/2005,2005,Cristal,Disponible,Activo
Provincias,06 Centro,SHU,0017527 San Ignacio Huacho - Huacho,004102 Froster 280,000000000400008618,0010052420,Frios,Froster,Inducol,12,2645223933,,,19/07/2005,2005,Cristal,Disponible,Activo
Provincias,06 Centro,SHU,0017527 San Ignacio Huacho - Huacho,006436 Visicooler 17p 1pta,000000000400010601,0010059398,Frios,Visicooler,Fogel,12,060914247,V-513-V1,V-5,13/10/2006,2006,Cristal,Disponible,Activo
Provincias,06 Centro,SHU,0017527 San Ignacio Huacho - Huacho,006494 VisiFroster 19p 1 Pta,000000000400108036,0010096803,Frios,Visifroster,Fogel,12,110923371,F12-F-X-17-PVP-V1,F12,17/10/2011,2011,Cristal,Disponible,Activo
Provincias,06 Centro,SHU,0017527 San Ignacio Huacho - Huacho,006494 VisiFroster 19p 1 Pta,000000000400010627,0010060776,Frios,Visifroster,Fogel,12,060912044,280 CF PVPV1,280,31/10/2006,2006,Pilsen Callao,Disponible,Activo
Provincias,06 Centro,SHU,0017527 San Ignacio Huacho - Huacho,006494 VisiFroster 19p 1 Pta,000000000400011889,0010062695,Frios,Visifroster,Fogel,12,061215061,280 CF PVPV1,280,30/01/2007,2007,Cristal,Disponible,Activo
Provincias,06 Centro,SHU,0017527 San Ignacio Huacho - Huacho,006494 VisiFroster 19p 1 Pta,000000000400012097,0010063621,Frios,Visifroster,Fogel,12,070212845,280 CF PVPV1,280,7/03/2007,2007,Cusqueña,Disponible,Activo
Provincias,06 Centro,SHU,0017527 San Ignacio Huacho - Huacho,006814 Froster 820 2 Ptas,000000000400014168,0010077137,Frios,Froster,Fogel,32,080614404,F9-820-TE- 2P-2U-V1,F9-,17/09/2008,2008,Cristal,Disponible,Activo
Provincias,06 Centro,SHU,0017527 San Ignacio Huacho - Huacho,007420 Froster 456,000000000400013369,0010071814,Frios,Froster,Fogel,14,071114119,F8-456-TE-V1,F8-,9/01/2008,2008,Cristal,Disponible,Activo
Provincias,06 Centro,SHU,0017527 San Ignacio Huacho - Huacho,007425 Froster 820 4Ptas,000000000400014569,0010079149,Frios,Froster,Fogel,32,080911633,F9-820-TE-V1,F9-,21/01/2008,2008,Cristal,Disponible,Activo
Provincias,06 Centro,SHU,0017527 San Ignacio Huacho - Huacho,007425 Froster 820 4Ptas,000000000400015072,0010082874,Frios,Froster,Fogel,32,081112497,F9-820-TE-V1,F9-,22/01/2009,2009,Cusqueña,Disponible,Activo
Provincias,06 Centro,SHU,0017527 San Ignacio Huacho - Huacho,007551 Visifroster 820 2 Puertas,000000000400013210,0010070353,Frios,Visifroster,Fogel,32,071112627,F8820TE2PVPH,F88,24/12/2007,2007,Pilsen Callao,Disponible,Activo
Provincias,06 Centro,SHU,0017527 San Ignacio Huacho - Huacho,007551 Visifroster 820 2 Puertas,000000000400014507,0010078569,Frios,Visifroster,Fogel,32,080715028,F9-820-TE-2PVP-2V-V1,F9-,20/09/2008,2008,Cusqueña,Disponible,Activo
Provincias,06 Centro,SHU,0017527 San Ignacio Huacho - Huacho,007746 Froster 280 VT,000000000400091887,0010085900,Frios,Froster,Fogel,12,090913513,F10-280 CF-VT-V1,F10,3/11/2009,2009,Cristal,Disponible,Activo
Provincias,06 Centro,SHU,0017527 San Ignacio Huacho - Huacho,008136 FROSTER 126 VT,000000000400116581,0010102495,Frios,Froster,Fogel,6,111014793,F12-FROSTER-126-CFVT,F12,29/12/2011,2011,Cusqueña,Disponible,Activo
Provincias,06 Centro,SHU,0017527 San Ignacio Huacho - Huacho,008511 Froster 192 Vert. - 7 cj,000000000400116951,0010103049,Frios,Froster,Fogel,7,111110437,F12-FROSTER-192-CFVT,F12,31/12/2011,2011,Cusqueña,Disponible,Activo
Provincias,06 Centro,SHU,0017527 San Ignacio Huacho - Huacho,008511 Froster 192 Vert. - 7 cj,000000000400116972,0010103078,Frios,Froster,Fogel,7,111110432,F12-FROSTER-192-CFVT,F12,31/12/2011,2011,Cusqueña,Disponible,Activo
